idade,genero,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado
56,Masculino,Não especificado,Não,,Exercício e saúde;Rapidez \ Tempo;Praticidade e conveniência;Custo \ É mais barato,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Outros
43,Masculino,Messejano / Cova do Mundo,Não,,Exercício e saúde;Rapidez \ Tempo,Desrespeito dos motoristas ou Trânsito,Conscietização dos motoristas
37,Feminino,Sempre usa a ciclovia,Não,,Exercício e saúde,Desrespeito dos motoristas ou Trânsito,Melhoria da fiscalização
,Masculino,Praia de Metral,Não,,Rapidez \ Tempo,Falta de ciclovias,Outros
38,Masculino,Todo lugar que passa já tem ciclovia,Não,,Praticidade e conveniência,Outros obstáculos na ciclovia,Melhora de qualidade das ciclovias
,Masculino,Todos os lugares já têm ciclovia,"Sim, por uma moto",,Mais fácil,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias
49,Masculino,Trecho da Perimetral,Não,,Exercício e saúde;Única opção,Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia,Outros
35,Masculino,Perimetral,Não,,Rapidez \ Tempo;Praticidade e conveniência,"Lixo na ciclovia, Buracos na ciclovia",Expansão das ciclovias
24,Masculino,Pedimental,"Sim, por uma moto",,Exercício e saúde;Praticidade e conveniência;Segurança no trânsito,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes",Expansão das ciclovias
46,Masculino,Avenida Silas Muguba,"Sim, por um carro",,Praticidade e conveniência;Rapidez \ Tempo;Exercício e saúde,Desrespeito dos motoristas ou Trânsito,Expansão das ciclovias; Conscietização dos motoristas
43,Masculino,Avenida perimetral,Não,,Custo \ É mais barato;Única opção,Desrespeito dos motoristas ou Trânsito,Melhora de qualidade das ciclovias
56,Masculino,Não especificado,Não,,Preferência pessoal,Falta de ciclovias,Expansão das ciclovias
59,Masculino,Antiga Dede Brasil,Não,,Mais fácil;Praticidade e conveniência,,Outros
9,Masculino,Minha rua,"Sim, por uma moto",,Preferência pessoal,Outros obstáculos na ciclovia,Outros
59,Masculino,Silas Munguba,Não,,Exercício e saúde,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Conscietização dos motoristas
